game,num_purch,avg_hr
"Dota 2",4841,203
"Team Fortress 2",2323,75
Unturned,1563,15
"Counter-Strike Global Offensive",1412,234
"Half-Life 2 Lost Coast",981,1
"Counter-Strike Source",978,134
"Left 4 Dead 2",951,42
Counter-Strike,856,236
Warframe,847,64
"Half-Life 2 Deathmatch",823,19
"Garry's Mod",731,75
"The Elder Scrolls V Skyrim",717,105
Robocraft,689,22
"Counter-Strike Condition Zero",679,35
"Counter-Strike Condition Zero Deleted Scenes",679,4
"Heroes & Generals",658,10
"Half-Life 2",639,12
"Sid Meier's Civilization V",596,180
"War Thunder",590,47
Portal,588,5
"Portal 2",544,20
"Day of Defeat",534,14
"Deathmatch Classic",524,1
Ricochet,524,1
Terraria,496,65
"No More Room in Hell",438,6
"Borderlands 2",429,59
"PAYDAY 2",427,50
"Day of Defeat Source",409,29
"Counter-Strike Nexon Zombies",395,11
"Half-Life 2 Episode One",394,6
"PlanetSide 2",390,30
Half-Life,388,6
Trove,384,19
"Half-Life Opposing Force",366,4
"Team Fortress Classic",366,1
"Half-Life 2 Episode Two",365,8
"Half-Life Blue Shift",363,2
Loadout,358,8
Nosgoth,354,8
"Dead Island Epidemic",353,6
"Grand Theft Auto San Andreas",351,10
"Call of Duty Modern Warfare 2 - Multiplayer",343,144
"Call of Duty Modern Warfare 2",343,29
"Path of Exile",339,53
"Fallout New Vegas",337,52
Warface,329,13
"Dirty Bomb",323,7
"Tom Clancy's Ghost Recon Phantoms - NA",314,37
"Metro 2033",312,9
"Marvel Heroes 2015",301,29
"BioShock Infinite",296,17
"Alien Swarm",289,5
Neverwinter,288,25
"Left 4 Dead",281,42
"Grand Theft Auto IV",281,21
"PAYDAY The Heist",277,7
"Grand Theft Auto V",273,85
"Arma 2",270,6
"Half-Life Deathmatch Source",268,1
"Empire Total War",263,98
"APB Reloaded",262,67
"Saints Row The Third",259,25
"Tomb Raider",257,16
"The Witcher 2 Assassins of Kings Enhanced Edition",257,19
"FreeStyle2 Street Basketball",257,10
"Don't Starve Together Beta",256,14
"Call of Duty Black Ops - Multiplayer",254,87
"Call of Duty Black Ops",254,17
"Arma 2 Operation Arrowhead",250,50
"Arma 2 Operation Arrowhead Beta (Obsolete)",250,7
DayZ,249,83
theHunter,248,2
"Clicker Heroes",246,90
"Tom Clancy's Ghost Recon Phantoms - EU",245,24
"Just Cause 2",243,19
"Sniper Elite V2",242,10
Magicka,241,11
"Call of Duty Modern Warfare 3 - Multiplayer",239,105
"Call of Duty Modern Warfare 3",239,26
"Age of Empires II HD Edition",238,34
"Magicka Wizard Wars",238,4
"Dead Island",231,14
"Amnesia The Dark Descent",226,5
HAWKEN,225,13
BioShock,224,8
TERA,224,20
"Torchlight II",224,34
"AdVenture Capitalist",222,43
"Chivalry Medieval Warfare",222,21
"Patch testing for Chivalry",222,2
"GunZ 2 The Second Duel",221,8
Defiance,218,15
"Killing Floor",215,43
Rust,214,74
"Quake Live",214,4
"Killing Floor Mod Defence Alliance 2",213,1
"Batman Arkham City GOTY",212,19
"BLOCKADE 3D",209,6
"Far Cry 3",207,28
"Grand Theft Auto Vice City",207,5
